Route: /portal/chat | Render Time | Execution Time: 0.01138448715209961 seconds
Route: /portal/chat | Render Time | Execution Time: 0.011610269546508789 seconds
Route: /portal/chat | Render Time | Execution Time: 0.011669158935546875 seconds
Route: /portal/chat | Render Time | Execution Time: 0.011090755462646484 seconds
Route: /portal/holidaybooking | Render Time | Execution Time: 0.0015535354614257812 seconds
Route: /portal/holidaybooking | Render Time | Execution Time: 0.0017349720001220703 seconds
Route: /portal/holidaybooking | Render Time | Execution Time: 0.0016489028930664062 seconds
Route: /portal/holidaybooking | Render Time | Execution Time: 0.0015981197357177734 seconds
Route: /portal/holidaybooking | Render Time | Execution Time: 0.0016279220581054688 seconds
Route: /portal/sales | Render Time | Execution Time: 0.016736507415771484 seconds
Route: /portal/sales | Render Time | Execution Time: 0.017058610916137695 seconds
Route: /portal/sales | Render Time | Execution Time: 0.01746058464050293 seconds
Route: /portal/sales | Render Time | Execution Time: 0.017911434173583984 seconds
Route: /portal/sales | Render Time | Execution Time: 0.01751995086669922 seconds
Route: /portal/sheets | Render Time | Execution Time: 0.001447439193725586 seconds
Route: /portal/sheets | Render Time | Execution Time: 0.0011622905731201172 seconds
Route: /portal/sheets | Render Time | Execution Time: 0.0013377666473388672 seconds
Route: /portal/sheets | Render Time | Execution Time: 0.0014448165893554688 seconds
Route: /portal/sheets | Render Time | Execution Time: 0.0011453628540039062 seconds
Route: /portal/stock | Render Time | Execution Time: 0.0024712085723876953 seconds
Route: /portal/stock | Render Time | Execution Time: 0.002955198287963867 seconds
Route: /portal/stock | Render Time | Execution Time: 0.0031251907348632812 seconds
Route: /portal/stock | Render Time | Execution Time: 0.002312898635864258 seconds
Route: /portal/stock | Render Time | Execution Time: 0.0023839473724365234 seconds
Route: /portal/calendar | Render Time | Execution Time: 0.0022270679473876953 seconds
Route: /portal/calendar | Render Time | Execution Time: 0.0028405189514160156 seconds
Route: /portal/calendar | Render Time | Execution Time: 0.0020279884338378906 seconds
Route: /portal/calendar | Render Time | Execution Time: 0.002183675765991211 seconds
Route: /portal/calendar | Render Time | Execution Time: 0.0018901824951171875 seconds
